St  Name                           Version                        Arch   Description                                                  Licenses
ii  libarchive13:armhf             3.2.2-2+deb9u1                 armhf  Multi-format archive and compression library (shared library Apache-2.0 BSD-124-clause-UCB BSD-1-clause-UCB BSD-2-clause BSD-3-clause-UCB BSD-4-clause-UCB Expat PD
ii  libasan3:armhf                 6.3.0-18+rpi1+deb9u1           armhf  AddressSanitizer -- a fast memory error detector             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libasound2:armhf               1.1.3-5+rpi3                   armhf  shared library for ALSA applications                         LPGL-2.1+
ii  libasound2-data                1.1.3-5+rpi3                   all    Configuration files and profiles for ALSA drivers            LPGL-2.1+
ii  libasound2-plugins:armhf       1.1.1-1                        armhf  ALSA library additional plugins                              LGPL-2.1
ii  libaspell15:armhf              0.60.7~20110707-3              armhf  GNU Aspell spell-checker runtime library                     LGPL
ii  libass5:armhf                  1:0.13.4-2                     armhf  library for SSA/ASS subtitles rendering                      GPL-2+ ISC other-1
ii  libassuan0:armhf               2.4.3-2                        armhf  IPC library for the GnuPG components                         GAP GAP~FSF GPL-2+ GPL-2+ with libtool exception GPL-3+ LGPL-2.1+ LGPL-3+
ii  libasyncns0:armhf              0.8-6                          armhf  Asynchronous name service query library                      LGPL-2.1+
ii  libatasmart4:armhf             0.19-4                         armhf  ATA S.M.A.R.T. reading and parsing library                   GPL-3 LGPL-2.1
ii  libatk-bridge2.0-0:armhf       2.22.0-2                       armhf  AT-SPI 2 toolkit bridge - shared library                     GPL-2 LGPL-2+
ii  libatk1.0-0:armhf              2.22.0-1                       armhf  ATK accessibility toolkit                                    LGPL-2
ii  libatk1.0-data                 2.22.0-1                       all    Common files for the ATK accessibility toolkit               LGPL-2
ii  libatomic1:armhf               6.3.0-18+rpi1+deb9u1           armhf  support library providing __atomic built-in functions        Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libatspi2.0-0:armhf            2.22.0-6+deb9u1                armhf  Assistive Technology Service Provider Interface - shared lib GPL-2 LGPL-2+ Public domain
ii  libattr1:armhf                 1:2.4.47-2                     armhf  Extended attribute shared library                            GPL-2 LGPL-2.1
ii  libaudio2:armhf                1.9.4-5                        armhf  Network Audio System - shared libraries                      unknown
ii  libaudiofile1:armhf            0.3.6-4                        armhf  Open-source version of SGI's audiofile library               BSD-3-clause GPL-2+ LGPL-2.1+ other-1 other-2 other-3 other-4
ii  libaudit-common                1:2.6.7-2                      all    Dynamic library for security auditing - common files         GPL-2 LGPL-2.1
ii  libaudit1:armhf                1:2.6.7-2                      armhf  Dynamic library for security auditing                        GPL-2 LGPL-2.1
ii  libav-tools                    7:3.2.12-1~deb9u1+rpt1         all    Compatibility links for libav-tools (transitional package)   BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libavahi-client3:armhf         0.6.32-2                       armhf  Avahi client library                                         GPL GPL-2 LGPL-2.1
ii  libavahi-common-data:armhf     0.6.32-2                       armhf  Avahi common data files                                      GPL GPL-2 LGPL-2.1
ii  libavahi-common3:armhf         0.6.32-2                       armhf  Avahi common library                                         GPL GPL-2 LGPL-2.1
ii  libavahi-core7:armhf           0.6.32-2                       armhf  Avahi's embeddable mDNS/DNS-SD library                       GPL GPL-2 LGPL-2.1
ii  libavahi-glib1:armhf           0.6.32-2                       armhf  Avahi GLib integration library                               GPL GPL-2 LGPL-2.1
ii  libavahi-gobject0:armhf        0.6.32-2                       armhf  Avahi GObject library                                        GPL GPL-2 LGPL-2.1
ii  libavc1394-0:armhf             0.5.4-4                        armhf  control IEEE 1394 audio/video devices                        GPL-2+ LGPL-2.1+
ii  libavcodec57:armhf             7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library with de/encoders for audio/video codecs - run BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libavdevice57:armhf            7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library for handling input and output devices - runti BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libavfilter6:armhf             7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library containing media filters - runtime files      BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libavformat57:armhf            7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library with (de)muxers for multimedia containers - r BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libavresample3:armhf           7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg compatibility library for resampling - runtime files  BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libavutil55:armhf              7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library with functions for simplifying programming -  BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libbabeltrace-ctf1:armhf       1.5.1-1                        armhf  Common Trace Format (CTF) library                            GPL-2 GPL-3+ LGPL-2.1 MIT
ii  libbabeltrace1:armhf           1.5.1-1                        armhf  Babeltrace conversion libraries                              GPL-2 GPL-3+ LGPL-2.1 MIT
ii  libbasicusageenvironment1:armh 2016.11.28-1+deb9u1            armhf  multimedia RTSP streaming library (BasicUsageEnvironment cla LGPL-2.1+
ii  libbind9-140:armhf             1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  BIND9 Shared Library used by BIND                            unknown
ii  libblas-common                 3.7.0-2                        armhf  Dependency package for all BLAS implementations              BSD-3-clause BSD-3-clause-intel
ii  libblas3                       3.7.0-2                        armhf  Basic Linear Algebra Reference implementations, shared libra BSD-3-clause BSD-3-clause-intel
ii  libblkid1:armhf                2.29.2-1+deb9u1                armhf  block device ID library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libbluetooth3:armhf            5.43-2+rpt2+deb9u2             armhf  Library to use the BlueZ Linux Bluetooth stack               Apache-2.0 BSD-2-clause Expat GPL-2 GPL-2+ LGPL-2.1+
ii  libbluray1:armhf               1:0.9.3-4                      armhf  Blu-ray disc playback support library (shared library)       BSD-3-clause GPL-2+ LGPL-2.1+ MPL-1.0 MPL-1.0 or GPL-2+ or LGPL-2.1+
ii  libboost-filesystem1.62.0:armh 1.62.0+dfsg-4                  armhf  filesystem operations (portable paths, iteration over direct bjam Boost boostbook
ii  libboost-iostreams1.58.0:armhf 1.58.0+dfsg-5.1+rpi1+b1        armhf  Boost.Iostreams Library                                      Boost
ii  libboost-iostreams1.60.0:armhf 1.60.0+dfsg-6+b2               armhf  Boost.Iostreams Library                                      bjam Boost boostbook
ii  libboost-iostreams1.62.0:armhf 1.62.0+dfsg-4                  armhf  Boost.Iostreams Library                                      bjam Boost boostbook
ii  libboost-system1.62.0:armhf    1.62.0+dfsg-4                  armhf  Operating system (e.g. diagnostics support) library          bjam Boost boostbook
ii  libbs2b0:armhf                 3.1.0+dfsg-2.2                 armhf  Bauer stereophonic-to-binaural DSP library                   FSF-unlimited GPL-2+ GPL-3+ MIT MIT+FSF-public
ii  libbsd0:armhf                  0.8.3-1                        armhf  utility functions from BSD systems - shared library          Beerware BSD-2-clause BSD-2-clause-author BSD-2-clause-NetBSD BSD-2-clause-verbatim BSD-3-clause BSD-3-clause-Peter-Wemm BSD-3-clause-Regents BSD-4-clause-Christopher-G-Demetriou BSD-4-clause-Niels-Provos BSD-5-clause-Peter-Wemm Expat ISC ISC-Original public-domain public-domain-Colin-Plumb
ii  libbz2-1.0:armhf               1.0.6-8.1                      armhf  high-quality block-sorting file compressor library - runtime GPL-2
